,Total Assets,Total Current Assets,Total Non-Current Assets,Total Liabilities,Total Current Liabilities,Total Non-Current Liabilities,Total Equity,Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Changes in Operating Capital,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Gross Profit,Total Revenue,Total Operating Profit/Loss,Diluted EPS,Diluted WASO,Open,return,Net Income,Gross Margin,Total Current Equity,Net Income to Total Assets ratio,Net Income to Total Equity ratio,Total Assets to Total Equity ratio,Total Revenue to Total Assets ratio,Total Revenue to Total Equity ratio,Gross Profit to Total Assets ratio,Gross Profit to Total Equity ratio,Price to Total Assets ratio,Price to Total Current Assets ratio,Price to Total Non-Current Assets ratio,Price to Total Liabilities ratio,Price to Total Current Liabilities ratio,Price to Total Non-Current Liabilities ratio,Price to Total Equity ratio,Price to Cash Generated from Operating Activities ratio,Price to Income/Loss before Non-Cash Adjustment ratio,Price to Changes in Operating Capital ratio,Price to Cash Flow from Investing Activities ratio,Price to Cash Flow from Financing Activities ratio,Price to Change in Cash ratio,"Price to Cash and Cash Equivalents, Beginning of Period ratio",Price to Gross Profit ratio,Price to Total Revenue ratio,Price to Total Operating Profit/Loss ratio,Price to Diluted EPS ratio,Price to Net Income ratio
1928,1324147000.0,926247000.0,397900000.0,564199000.0,414930000.0,149269000.0,759948000.0,183111000.0,105633000.0,-6917000.0,-60690000.0,-141669000.0,-19248000.0,537038000.0,681047000.0,2018100000.0,146860000.0,0.72,165792000.0,15.02,0.6537949400798935,119370240.0,0.33746940191269015,511317000.0,0.09014878257474435,0.15707685262675866,1.7424179022775244,1.5240754991704093,2.655576434177075,0.5143288471748227,0.896175790975172,88158921.43808256,61667576.56458056,26491344.873501997,37563182.42343542,27625166.444740348,9938015.978695074,50595739.01464714,12191145.139813581,7032822.902796272,-460519.3075898802,-4040612.516644474,-9432023.96804261,-1281491.344873502,35754860.18641811,45342676.43142477,134360852.19707057,9777629.82689747,0.047936085219707054,7947419.440745672
1929,1498677000.0,1027845000.0,470832000.0,642566000.0,507078000.0,135488000.0,856111000.0,278728000.0,205876000.0,7086000.0,-98964000.0,-146056000.0,33708000.0,519195000.0,820041000.0,2221427000.0,203791000.0,1.24,165540000.0,24.84,0.3510467391304347,205269600.0,0.3691505505245052,520767000.0,0.13696720507487603,0.23976984292924633,1.7505638871594922,1.482258685493939,2.594788526254189,0.547176609769817,0.9578676129614033,60333212.56038647,41378623.1884058,18954589.37198068,25868196.457326893,20413768.115942027,5454428.3413848635,34465016.10305958,11220933.977455717,8288083.735909823,285265.7004830918,-3984057.9710144927,-5879871.175523349,1357004.8309178744,20901570.048309177,33012922.70531401,89429428.34138486,8204146.53784219,0.0499194847020934,8263671.497584541
1930,1743157000.0,1173100000.0,570057000.0,692600000.0,575720000.0,116880000.0,1050557000.0,346261000.0,208542000.0,35126000.0,-128704000.0,-127873000.0,89684000.0,547533000.0,909241000.0,2566863000.0,224709000.0,1.23,168971000.0,33.560001,-0.0887962130871212,207834330.0,0.35422264452758095,597380000.0,0.11922869253888203,0.19783251170569516,1.6592693209411769,1.4725368971354846,2.4433352973708233,0.5216059138677698,0.8654846905022764,51941506.19959755,34955302.891677506,16986203.307920046,20637663.27062982,17154945.853547502,3482717.4170823176,31303842.928967733,10317669.537614137,6214004.58241941,1046662.6624951531,-3835041.6020547794,-3810279.9818152566,2672347.9537441013,16315047.189658904,27092996.808909513,76485784.37169892,6695738.775454745,0.03665077363972665,6192917.872678252
1931,2024124000.0,1350436000.0,673688000.0,847785000.0,717819000.0,129966000.0,1176339000.0,305181000.0,257573000.0,-57005000.0,-173345000.0,-159133000.0,-27297000.0,641947000.0,1037011000.0,2788322000.0,274496000.0,1.52,168965000.0,30.58,0.5483975801177241,256826800.0,0.3719122110000208,632617000.0,0.12688293800182202,0.2183271998973085,1.7206978600556473,1.3775450515877485,2.370338822397285,0.5123258258881372,0.88155795225696,66191105.29758012,44160758.66579464,22030346.631785482,27723512.099411383,23473479.398299545,4250032.701111838,38467593.19816874,9979758.011772402,8422923.4793983,-1864126.8803139308,-5668574.231523872,-5203826.0300850235,-892642.2498364944,20992380.640941795,33911412.6880314,91181229.5618051,8976324.395029431,0.049705689993459784,8398521.909744931
1932,2363474000.0,1414478000.0,948996000.0,874206000.0,714144000.0,160062000.0,1489268000.0,425000000.0,449723000.0,23209000.0,-130234000.0,-176656000.0,118110000.0,604516000.0,1122381000.0,2975851000.0,299886000.0,2.66,169381000.0,47.349998,1.1053855588336037,450553460.0,0.377163036724621,700334000.0,0.19063186648128982,0.302533499679037,1.5870038166401212,1.2591003751257683,1.9981971008576025,0.47488612102354416,0.7536460865337871,49914975.70918588,29872820.691565815,20042155.017620064,18462640.695359692,15082239.285416653,3380401.409943037,31452335.013826188,8975713.156313121,9497846.230109662,490158.41563499114,-2750454.181645372,-3730855.490215649,2494403.484452101,12766969.916239489,23703929.19551971,62847964.63982955,6333389.919044981,0.056177404695983306,9515384.984810349
1933,4142378000.0,3159318000.0,983060000.0,1880589000.0,1681850000.0,198739000.0,2261789000.0,1458638000.0,947257000.0,298466000.0,-119982000.0,-299929000.0,1038727000.0,715566000.0,2335735000.0,5252279000.0,1153787000.0,5.51,171775000.0,99.690002,-0.1459524797682319,946480250.0,0.44470885876397653,1477468000.0,0.22848717572370267,0.4184653166144145,1.8314608480278223,1.267938126361235,2.3221790361523555,0.5638633171574395,1.0326935890129452,41552592.20478298,31691422.77677956,9861169.428003421,18864369.16713072,16870799.13991776,1993570.0272129595,22688223.037652258,14631738.095461167,9502026.090841085,2993941.1577100777,-1203550.9839793162,-3008616.6514471527,10419570.460034698,7177911.381725119,23429982.477079295,52686115.90558499,11573748.388529472,0.055271340048724235,9494234.436869606
1934,4035405000.0,3072922000.0,962483000.0,1636667000.0,1421154000.0,215513000.0,2398738000.0,298318000.0,644513000.0,-591862000.0,-107863000.0,-606819000.0,-416364000.0,1750327000.0,2263006000.0,5481101000.0,779668000.0,3.78,170414000.0,85.139999,-0.2620389624387945,644164920.0,0.4128743476903637,1651768000.0,0.1596283198340687,0.2685432589970226,1.6823033611840894,1.3582530130185198,2.2849936091394727,0.5607878267484924,0.9434152458501095,47397287.378403656,36092577.35603215,11304710.022371506,19223244.294376843,16691966.369414685,2531277.9249621555,28174043.084026814,3503852.519425094,7570037.674066686,-6951632.686770409,-1266889.8433978134,-7127308.047067278,-4890345.371039997,20558221.99387153,26579821.782708734,64377508.39062142,9157481.902249023,0.04439746352357838,7565949.348907086
1935,3560753000.0,2605174000.0,955579000.0,1303193000.0,1050107000.0,253086000.0,2257560000.0,534010000.0,364575000.0,-43630000.0,-105730000.0,-583353000.0,-155073000.0,1328716000.0,1719515000.0,4538818000.0,493042000.0,2.23,163704000.0,62.830002,0.5016710965567055,365059920.0,0.37884643094303405,1555067000.0,0.10252323595599021,0.16170552277680328,1.5772573043462854,1.2746792602575916,2.010497173940006,0.4829076883456954,0.7616696787682277,56672813.729975685,41463853.52653658,15208960.203439115,20741571.836970497,16713464.37327823,4028107.463692266,35931241.89300519,8499283.511084402,5802562.285450826,-694413.4746327081,-1682794.7896611558,-9284624.883507086,-2468136.16208384,21147794.965850867,27367737.470388748,72239660.28204168,7847238.330503316,0.0354925979470763,5810280.254328179
1936,22967023000000.0,9240629000000.0,13726394000000.0,11183613000000.0,7549556000000.0,3634057000000.0,11783410000000.0,3102959000000.0,917404000000.0,-2526662000000.0,-3451279000000.0,404659000000.0,-182099000000.0,1021870000000.0,3788395000000.0,26455529000000.0,1357255000000.0,2527.0,715631400.0,11.91,0.235936188077246,1808400547800.0,0.14319861077055007,1691073000000.0,0.0787390053904679,0.15347005220050902,1.9490981812565293,1.151891953955025,2.245150512457769,0.16494932756413402,0.32150243435474113,1928381444164.5676,775871452560.8732,1152509991603.6943,939010327455.9194,633883795130.1427,305126532325.7767,989371116708.6482,260533921074.7271,77028043660.78925,-212146263643.99664,-289779932829.555,33976406381.192276,-15289588581.02435,85799328295.54996,318085222502.09906,2221287069689.3364,113959277917.7162,212.1746431570109,151838836926.95215
1937,22577160000000.0,9531634000000.0,13045526000000.0,9872204000000.0,6606712000000.0,3265492000000.0,12704956000000.0,3218689000000.0,1023456000000.0,-2530622000000.0,-2731929000000.0,-174498000000.0,-179850000000.0,889839000000.0,4314312000000.0,28383884000000.0,1625818000000.0,2701.0,715631400.0,14.72,-0.3179347826086957,1932920411400.0,0.15199864824701229,2924922000000.0,0.08561397498179577,0.15213908740809493,1.777035670174694,1.2571946161518985,2.2340796772535065,0.19109188223851006,0.33957709101865446,1533774456521.739,647529483695.6521,886244972826.0869,670666032608.6957,448825543478.26086,221840489130.43478,863108423913.0435,218660937500.0,69528260869.56522,-171917255434.7826,-185593002717.3913,-11854483695.652174,-12218070652.173912,60451019021.73913,293091847826.0869,1928252989130.4348,110449592391.30434,183.49184782608694,131312527948.36955
1938,24884336000000.0,10484186000000.0,14400150000000.0,11421948000000.0,7058219000000.0,4363729000000.0,13462388000000.0,3905341000000.0,931508000000.0,-1051336000000.0,-3189182000000.0,307947000000.0,759671000000.0,751662000000.0,3749804000000.0,26504074000000.0,1310439000000.0,2534.0,715631400.0,10.04,0.3107569721115539,1813409967600.0,0.14148028714378025,3425967000000.0,0.07287355256736608,0.13470195388812148,1.8484340222551898,1.0650906658710926,1.968749823582562,0.15068933324160227,0.2785392903547276,2478519521912.3506,1044241633466.1355,1434277888446.2153,1137644223107.5698,703009860557.769,434634362549.80084,1340875298804.781,388978187250.99603,92779681274.9004,-104714741035.85658,-317647609561.753,30672011952.19124,75664442231.0757,74866733067.7291,373486454183.26697,2639848007968.128,130521812749.004,252.39043824701199,180618522669.32272
