,Open,Date,Year
4240,65.860001,2017-01-01,2017
4241,64.379997,2018-01-01,2018
4242,56.200001,2019-01-01,2019
4243,89.050003,2020-01-01,2020
4244,153.009995,2021-01-01,2021
4245,182.910004,2022-01-01,2022
4246,111.349998,2023-01-01,2023
4247,142.190002,2024-01-01,2024
4248,142.5,2021-01-01,2021
4249,149.610001,2022-01-01,2022
4250,49.98,2023-01-01,2023
4251,97.800003,2024-01-01,2024
4252,10.0,2020-08-01,2020
4253,4.0,2021-01-01,2021
4254,8.0,2022-01-01,2022
4255,5.42,2023-01-01,2023
4256,3.61,2024-01-01,2024
4257,37.41,2014-01-01,2014
4258,43.48,2015-01-01,2015
4259,64.830002,2016-01-01,2016
4260,64.889999,2017-01-01,2017
4261,95.120003,2018-01-01,2018
4262,62.139999,2019-01-01,2019
4263,80.239998,2020-01-01,2020
4264,57.799999,2021-01-01,2021
4265,79.230003,2022-01-01,2022
4266,59.369999,2023-01-01,2023
4267,85.910004,2024-01-01,2024
4268,5.0,2014-01-01,2014
4269,6.84,2015-01-01,2015
4270,9.71,2016-01-01,2016
4271,9.7,2017-01-01,2017
4272,15.95,2018-01-01,2018
4273,19.9,2019-01-01,2019
4274,28.51,2020-01-01,2020
4275,73.0,2021-01-01,2021
4276,48.099998,2022-01-01,2022
4277,37.369999,2023-01-01,2023
4278,44.810001,2024-01-01,2024
4279,33.575001,2014-01-01,2014
4280,39.294998,2015-01-01,2015
4281,44.02,2016-01-01,2016
4282,61.060001,2017-01-01,2017
4283,68.315002,2018-01-01,2018
4284,39.654999,2019-01-01,2019
4285,64.855003,2020-01-01,2020
4286,82.230003,2021-01-01,2021
4287,115.029999,2022-01-01,2022
4288,95.410004,2023-01-01,2023
4289,106.82,2024-01-01,2024
4290,72.720001,2019-05-01,2019
4291,68.800003,2020-01-01,2020
4292,340.399994,2021-01-01,2021
4293,184.440002,2022-01-01,2022
4294,69.010002,2023-01-01,2023
4295,71.099998,2024-01-01,2024
4296,9.77,2014-01-01,2014
4297,14.77,2015-01-01,2015
4298,17.780001,2016-01-01,2016
4299,8.61,2017-01-01,2017
4300,6.37,2018-01-01,2018
4301,3.92,2019-01-01,2019
4302,8.13,2020-01-01,2020
4303,10.51,2021-01-01,2021
4304,9.59,2022-01-01,2022
4305,6.83,2023-01-01,2023
4306,4.72,2024-01-01,2024
4307,7.03125,2014-01-01,2014
4308,8.0575,2015-01-01,2015
4309,8.23,2016-01-01,2016
4310,7.39,2017-01-01,2017
4311,8.135,2018-01-01,2018
4312,9.5,2019-01-01,2019
4313,10.3,2020-01-01,2020
4314,17.389999,2021-01-01,2021
4315,25.389999,2022-01-01,2022
4316,18.18,2023-01-01,2023
4317,18.24,2024-01-01,2024
4318,13.51,2015-01-01,2015
4319,17.48,2016-01-01,2016
4320,13.75,2017-01-01,2017
4321,21.5,2018-01-01,2018
4322,35.279999,2019-01-01,2019
4323,42.290001,2020-01-01,2020
4324,92.760002,2021-01-01,2021
4325,131.009995,2022-01-01,2022
4326,85.0,2023-01-01,2023
4327,99.709999,2024-01-01,2024
4328,68.510002,2021-03-01,2021
4329,34.169998,2022-01-01,2022
4330,21.5,2023-01-01,2023
4331,14.5,2024-01-01,2024
4332,13.11,2016-05-01,2016
4333,10.63,2017-01-01,2017
4334,9.0,2018-01-01,2018
4335,16.42,2019-01-01,2019
4336,16.889999,2020-01-01,2020
4337,14.24,2021-01-01,2021
4338,16.0,2022-01-01,2022
4339,6.31,2023-01-01,2023
4340,7.37,2024-01-01,2024
4341,7.74,2014-01-01,2014
4342,7.38,2015-01-01,2015
4343,10.25,2016-01-01,2016
4344,14.45,2017-01-01,2017
4345,11.93,2018-01-01,2018
4346,10.92,2019-01-01,2019
4347,23.26,2020-01-01,2020
4348,31.09,2021-01-01,2021
4349,34.66,2022-01-01,2022
4350,18.780001,2023-01-01,2023
4351,28.719999,2024-01-01,2024
4352,11.05,2014-06-01,2014
4353,22.940001,2015-01-01,2015
4354,9.23,2016-01-01,2016
4355,12.42,2017-01-01,2017
4356,11.29,2018-01-01,2018
4357,8.91,2019-01-01,2019
4358,4.8,2020-01-01,2020
4359,4.29,2021-01-01,2021
4360,3.4,2022-01-01,2022
4361,2.53,2023-01-01,2023
4362,3.42,2024-01-01,2024
4363,6.59,2014-01-01,2014
4364,4.99,2015-01-01,2015
4365,3.71,2016-01-01,2016
4366,6.23,2017-01-01,2017
4367,7.93,2018-01-01,2018
4368,5.13,2019-01-01,2019
4369,7.12,2020-01-01,2020
4370,7.53,2021-01-01,2021
4371,4.59,2022-01-01,2022
4372,1.78,2023-01-01,2023
4373,2.64,2024-01-01,2024
4374,26.4,2014-01-01,2014
4375,8.75,2015-01-01,2015
4376,5.05,2016-01-01,2016
4377,5.05,2017-01-01,2017
4378,9.15,2018-01-01,2018
4379,13.79,2019-01-01,2019
4380,8.8,2020-01-01,2020
4381,15.73,2021-01-01,2021
4382,16.4,2022-01-01,2022
4383,12.75,2023-01-01,2023
4384,1.93,2024-01-01,2024
4385,25.629999,2014-01-01,2014
4386,27.129999,2015-01-01,2015
4387,23.629999,2016-01-01,2016
4388,32.0,2017-01-01,2017
4389,42.889999,2018-01-01,2018
4390,34.950001,2019-01-01,2019
4391,41.759998,2020-01-01,2020
4392,45.34,2021-01-01,2021
